date,zone,demand_mw,loadshed_mw
2025-11-30,Rajshahi,979,0
2025-11-30,Rangpur,757,0
2025-11-30,Sylhet,398,0
2025-12-01,Barisal,304,0
2025-12-01,Chittagong,1198,0
2025-12-01,Comilla,936,0
2025-12-01,Dhaka,4280,0
2025-12-01,Khulna,1263,0
2025-12-01,Mymensingh,850,0
2025-12-01,Rajshahi,972,0
2025-12-01,Rangpur,758,0
2025-12-01,Sylhet,407,0
2025-12-02,Barisal,300,0
2025-12-02,Chittagong,1227,0
2025-12-02,Comilla,891,0
2025-12-02,Dhaka,4214,0
2025-12-02,Khulna,1212,0
2025-12-02,Mymensingh,807,0
2025-12-02,Rajshahi,964,0
2025-12-02,Rangpur,776,0
2025-12-02,Sylhet,408,0
2025-12-03,Barisal,290,0
2025-12-03,Chittagong,1251,0
2025-12-03,Comilla,909,0
2025-12-03,Dhaka,4161,0
2025-12-03,Khulna,1242,0
2025-12-03,Mymensingh,809,0
2025-12-03,Rajshahi,988,0
2025-12-03,Rangpur,778,0
2025-12-03,Sylhet,400,0
2025-12-04,Barisal,312,0
2025-12-04,Chittagong,1225,0
2025-12-04,Comilla,883,0
2025-12-04,Dhaka,4207,0
2025-12-04,Khulna,1225,0
2025-12-04,Mymensingh,857,0
2025-12-04,Rajshahi,985,0
2025-12-04,Rangpur,780,0
2025-12-04,Sylhet,389,0
2025-12-05,Barisal,284,0
2025-12-05,Chittagong,1088,0
2025-12-05,Comilla,887,0
2025-12-05,Dhaka,3224,0
2025-12-05,Khulna,1132,0
2025-12-05,Mymensingh,809,0
2025-12-05,Rajshahi,881,0
2025-12-05,Rangpur,688,0
2025-12-05,Sylhet,369,0
2025-12-06,Barisal,318,0
2025-12-06,Chittagong,1193,0
2025-12-06,Comilla,939,0
2025-12-06,Dhaka,3929,0
2025-12-06,Khulna,1218,0
2025-12-06,Mymensingh,820,0
2025-12-06,Rajshahi,946,0
2025-12-06,Rangpur,708,0
2025-12-06,Sylhet,394,0
2025-12-07,Barisal,307,0
2025-12-07,Chittagong,1248,0
2025-12-07,Comilla,932,0
2025-12-07,Dhaka,4178,0
2025-12-07,Khulna,1264,0
2025-12-07,Mymensingh,878,0
2025-12-07,Rajshahi,1001,0
2025-12-07,Rangpur,795,0
2025-12-07,Sylhet,399,0
2025-12-08,Barisal,308,0
2025-12-08,Chittagong,1147,0
2025-12-08,Comilla,912,0
2025-12-08,Dhaka,4122,0
2025-12-08,Khulna,1271,0
2025-12-08,Mymensingh,887,0
2025-12-08,Rajshahi,1018,0
2025-12-08,Rangpur,787,0
2025-12-08,Sylhet,401,0
2025-12-09,Barisal,309,0
2025-12-09,Chittagong,1146,0
2025-12-09,Comilla,921,0
2025-12-09,Dhaka,4097,0
2025-12-09,Khulna,1260,0
2025-12-09,Mymensingh,890,0
2025-12-09,Rajshahi,1013,0
2025-12-09,Rangpur,778,0
2025-12-09,Sylhet,401,0
2025-12-10,Barisal,306,0
2025-12-10,Chittagong,1235,0
2025-12-10,Comilla,956,0
2025-12-10,Dhaka,4268,0
2025-12-10,Khulna,1250,0
2025-12-10,Mymensingh,847,0
2025-12-10,Rajshahi,1030,0
2025-12-10,Rangpur,782,0
2025-12-10,Sylhet,401,0
2025-12-11,Barisal,309,0
2025-12-11,Chittagong,1218,0
2025-12-11,Comilla,933,0
2025-12-11,Dhaka,4166,0
2025-12-11,Khulna,1268,0
2025-12-11,Mymensingh,848,0
2025-12-11,Rajshahi,985,0
2025-12-11,Rangpur,770,0
2025-12-11,Sylhet,400,0
2025-12-12,Barisal,288,0
2025-12-12,Chittagong,1110,0
2025-12-12,Comilla,855,0
2025-12-12,Dhaka,3177,0
2025-12-12,Khulna,1084,0
2025-12-12,Mymensingh,791,0
2025-12-12,Rajshahi,900,0
2025-12-12,Rangpur,629,0
2025-12-12,Sylhet,363,0
2025-12-13,Barisal,321,0
2025-12-13,Chittagong,1275,0
2025-12-13,Comilla,959,0
2025-12-13,Dhaka,3965,0
2025-12-13,Khulna,1287,0
2025-12-13,Mymensingh,885,0
2025-12-13,Rajshahi,1019,0
2025-12-13,Rangpur,764,0
2025-12-13,Sylhet,407,0
2025-12-14,Barisal,310,0
2025-12-14,Chittagong,1242,0
2025-12-14,Comilla,939,0
2025-12-14,Dhaka,4142,0
2025-12-14,Khulna,1271,0
2025-12-14,Mymensingh,875,0
2025-12-14,Rajshahi,998,0
2025-12-14,Rangpur,776,0
2025-12-14,Sylhet,405,0
2025-12-15,Barisal,307,0
2025-12-15,Chittagong,1224,0
2025-12-15,Comilla,913,0
2025-12-15,Dhaka,4149,0
2025-12-15,Khulna,1266,0
2025-12-15,Mymensingh,854,0
2025-12-15,Rajshahi,997,0
2025-12-15,Rangpur,764,0
2025-12-15,Sylhet,408,0
2025-12-16,Barisal,295,0
2025-12-16,Chittagong,779,0
2025-12-16,Comilla,863,0
2025-12-16,Dhaka,2986,0
2025-12-16,Khulna,1170,0
2025-12-16,Mymensingh,824,0
2025-12-16,Rajshahi,963,0
2025-12-16,Rangpur,700,0
2025-12-16,Sylhet,376,0
2025-12-17,Barisal,311,0
2025-12-17,Chittagong,1172,0
2025-12-17,Comilla,937,0
2025-12-17,Dhaka,4018,0
2025-12-17,Khulna,1214,0
2025-12-17,Mymensingh,840,0
2025-12-17,Rajshahi,978,0
2025-12-17,Rangpur,709,0
2025-12-17,Sylhet,388,0
2025-12-18,Barisal,312,0
2025-12-18,Chittagong,1177,0
2025-12-18,Comilla,956,0
2025-12-18,Dhaka,4223,0
2025-12-18,Khulna,1271,0
2025-12-18,Mymensingh,865,0
2025-12-18,Rajshahi,967,0
2025-12-18,Rangpur,760,0
2025-12-18,Sylhet,404,0
2025-12-19,Barisal,292,0
2025-12-19,Chittagong,1106,0
2025-12-19,Comilla,857,0
2025-12-19,Dhaka,3255,0
2025-12-19,Khulna,1108,0
2025-12-19,Mymensingh,780,0
2025-12-19,Rajshahi,892,0
2025-12-19,Rangpur,633,0
2025-12-19,Sylhet,350,0
2025-12-20,Barisal,310,0
2025-12-20,Chittagong,1229,0
2025-12-20,Comilla,909,0
2025-12-20,Dhaka,4038,0
2025-12-20,Khulna,1236,0
2025-12-20,Mymensingh,860,0
2025-12-20,Rajshahi,959,0
2025-12-20,Rangpur,759,0
2025-12-20,Sylhet,389,0
